Prey \ predator,Toothed whale,Baleen whale,Seal,Seabirds,Penguins,Tuna/billfish,Pelagic sharks,Demersal sharks,Rays,Warehous,Redbait,Redfish,Ling,Dories,Jack mackerel,Jackass morwong,Flathead,Gemfish,ShOceanPerch,Chinaman leatherjacket,Cucumberfish,Whiting,Cardinal,ShSmInvertFeeder,ShSmPredator,ShMedInvertFeeder,ShMedPredator,ShLInvertFeeder,ShLPredator,Blue-eye trevalla,Blue grenadier,SlopeOceanPerch,Deepsea Cod,Oreos,SlopeSmInvertFeeder,SlopeSmPredator,SlopeMInverFeeder,SlopeMPredator,SlopeLInvertFeeder,SlopeLPredator,PelSmInvertFeeder,PelMInvertFeeder,PelMPredator,PelLInvertFeeder,PelLPredator,Mesopelagics,Squid,PelagicPrawns,Macrobenthos,Megabenthos,Polychaeta,Gelatinous nekton,Euphausids,L zooplankton,Sm zooplankton,Primary producers,Benthic producer,Detritus,Discards,Import
Toothed whale,0.000975858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baleen whale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seal,0.002431592,0,0,0,0,0,0.02514489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabirds,0.004879287,0,0,0,0,0,0.008965623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penguins,0.003,0,0,0,0,0,0.008965623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuna/billfish,0.002431592,0,0,0,0,0,0.02514489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelagic sharks,0.001972637,0,0,0,0,0,0.005828106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demersal sharks,0,0,0,0,0,0,0.1344843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01003989,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rays,0,0,0,0,0,0,0.1344843,0.006084974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01003989,0,0.04969642,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warehous,0,0,0.045,0,0.1,0,0.04796562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009939283,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redbait,0,0.01,0.251,0.01,0,0.1586121,0,0.008067692,0,0,0,0,0,0.09602048,0,0,0,0,0,0,0,0,0,0,0,0,0.05019943,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Redfish,0,0,0.0238,0,0,0,0.008965623,0.02278264,0,0,0,0,0,0.03853842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002193803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
Ling,0,0,0.01217755,0,0,0,0.001,0.001008461,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
Dories,0,0,0.01015287,0,0,0,0.007965623,0.001007043,0,0,0,0,0,0,0,0,0.01,0.05,0,0,0,0,0,0,0,0,0.03011966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack mackerel,0.077686,0,0.3,0,0,0.228005,0.04482811,0.21,0,0,0,0,0,0.2450339,0,0,0.005332494,0.249,0,0,0,0,0,0,0,0,0.06,0,0.032,0,0,0.0596137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
