Prey \ predator,Transient Orca,Resident Orca,Sharks,Halibut,Porpoise,Pinnipeds,Lingcod,Sablefish,Adult Atooth,Adult Salmon,Pac Cod,Juv Atooth,Avian Predators,Seabirds,Deep demersals,Pollock Ad,Rockfish,Baleen Whales,Salmon Fry,Nshore Demersal,Squid,Eulachon,Sea otters,Deep  Epibent,Capelin,Adult Herring,Pollock Juv,Shal Lg Epibent,Invertiv Bird,Sandlance,Juv  Herring,Jellies,Deep sm infauna,Near Omnizoo,Omnizooplankto,Shal sm Infauna,Meiofauna,Deep Lg Infauna,Shal Sm Epibent,Shal lg infauna,Near Herbizoo,HerbiZooplankt,Near Phytoplktn,Offshore Phyto,Macroalgae,Nekton falls,InshoreDetritus,Offshr Detritus,Import
Transient Orca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resident Orca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharks,0,0,0.002999999,0,0.05,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halibut,0.005,0.005,0.02499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porpoise,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinnipeds,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lingcod,0,0,0,0,0,0.001,0.005,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sablefish,0.005,0.005,0.01,0,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Atooth,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Salmon,0.015,0.74,0.323,0.133,0,0.14,0.136,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pac Cod,0,0.005,0.035,0.012,0.14,0.01,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juv Atooth,0,0,0.002,0.04000003,0,0,0,0,0,0,0.05001205,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avian Predators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deep demersals,0,0,0.002999999,0.03800001,0,0,0,0.048,0,0,0.07901904,0,0,0,0.17,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pollock Ad,0,0.005,0.04999998,0.374,0,0.119,0.051,0.208,0.2520283,0,0.07299598,0.037,0,0.06,0,0.02004062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockfish,0,0,0.004000001,0,0,0.03,0.03,0,0.009991921,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baleen Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmon Fry,0,0,0,0.02,0,0.01,0.032,0,0,0.001,0,0,0,0.025,0,0.005000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nshore Demersal,0,0.005,0,0.013,0.05,0.23,0.234,0,0.09001011,0,0.08001928,0,0.04,0.127,0.11,0,0.002,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squid,0,0,0.02,0.002000001,0.3,0.12,0,0.08,0,0,0.02500602,0.01,0,0.007000003,0.05,0.04905042,0.158,0,0,0,0.003,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eulachon,0,0,0,0.002000001,0.06,0.053,0.048,0.107,0.046962,0.0005,0.00900217,0.147,0.04,0.047,0.01,0.04308734,0,0,0.3,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea otters,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deep  Epibent,0,0,0.09000003,0.141,0,0,0,0.051,0.03996767,0,0.3580863,0.25,0,0,0.15,0.2750084,0.288,0,0,0.11,0.004,0,0.04,0.2500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capelin,0,0,0.005,0.001,0,0.055,0,0.001,0.0570064,0.001,0.002000482,0.04,0,0.01,0.005,0.009018281,0.001,0,0.01,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Herring,0,0.235,0.02999999,0,0.25,0.12,0.125,0.022,0.03997235,0.001,0.001998482,0.05100001,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pollock Juv,0,0,0,0,0,0,0,0.003,0.01000112,0,0.002997723,0.01,0,0,0,0.002002058,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shal Lg Epibent,0,0,0,0.02399999,0,0,0,0,0,0,0.02800674,0,0,0,0.015,0.1032092,0,0,0,0.11,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
