Prey \ predator,Primary produce,Microzooplankton,Mesozooplankton,Marozooplankton,deposit feeders,suspension feed,Shrimp and Praw,Whelk,Echinoderms,Bivalves,Scallops,Crab,Commercial crab,Lobster,Small demersals,Small gadoids,Mullet,Sole Juv,Sole Ad,Plaice Juv,Plaice Ad,Dab,Lemon Sole,Large Flatfish,Gurnards,Whiting Juv,Whiting Ad,Cod Juv,Cod Ad,Hake,Dogfish,Rays,Pollack,Monkfishes,Large bottom,Seabreams,John Dory,Sandeels,Herring,Sprat,Pilchard,Mackerel,Scad,Bass,Sharks,Basking shark,Cephalopods,Seabirds,Toothed cetaceans,Seals,Discarded catch,Detritus,Import
Primary produce,0,0.947368,0.783239,0,0,0.1,0.085,0,0.050862,0.5,0.5,0,0,0.085619,1.90E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05295273,0,0,0,0,0,0
Microzooplankton,0,0.052632,0.097905,0,0,0.15,0.125218,0,0,0,0,0,0,0,9.90E-05,0.02828008,0,0,0,0,0,0,0.008955,0.000162,0,0,0.04760516,9.70E-05,0,0,0,0,0,0,0,0,0,0,0.6,0.394867,0.4,0.03768,0.01831433,0,0,0,0,0,0,0,0,0,0
Mesozooplankton,0,0,0.048953,1,0,0.3,0.234782,0,0,0,0,0,0,0,9.90E-05,0.03061822,0,0,0,0,0,0,0.015483,0.000162,0,0,0.05507733,0.000214,0.02789952,0,0,0.034081,0.155216,0,0,0,0,0.805,0.4,0.5923,0.6,0.651835,0.1741574,0,0,0.3,0,0.02357981,0,0,0,0,0
Marozooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000294,0,0,0,0,0,0,0,0,0,0,0,0.001771742,0,0,0,0,0,0,0,0,0,0,0,0,0.012833,0,0.049604,0.04783162,0,0,0,0,0,0,0,0,0,0
deposit feeders,0,0,0,0,0,0.1,0.03,0.735424,0.111897,0,0,0,0,0.119216,0.590945,0.06819478,0.483794,0.845544,0.845389,0.484485,0.484485,0.657791,0.680404,0.057296,0.2436234,0.308975,0.03209143,0.084068,0.05310917,9.19E-05,0.243531,0.127869,0.077625,0,0,0.983975,0,0.194853,0,0,0,0.008973,0.09789576,0.206851,0.009928,0,0.003309797,0.03392494,0,0,0,0,0
suspension feed,0,0,0,0,0,0,0,0,0.005086,0,0,0,0,0.032513,0.000418,0,0,0.009775,0.009784,0,0,0.197364,0.037636,0.000195,0,0,0.002673974,0.000768,0.000503188,0,0.013588,0,0.000803,0,0,0,0.000309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrimp and Praw,0,0,0,0,0,0,0,0.055904,0,0,0,0.146254,0.15242,0.003251,0.115081,0.4887285,0.156983,0,0,0.005005,0.005005,0.033922,0,0.181617,0.4410031,0.644361,0.02005668,0.46912,0.004192926,0.002642679,0.058531,0.263196,0.032121,0,0.074265,0.009269,0.009764,0,0,0,0,0.011216,0.3887857,0.588652,0,0,0,0,0,0,0,0,0
Whelk,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000501,0,0,0.013623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinoderms,0,0,0,0,0,0,0,0.055904,0.048221,0,0,0,0,0.033597,0.114035,0.000309548,0.017125,0,0,0.005005,0.005005,0.000164,0.02543,0,0,0,0.000681583,0.000291,0.002794974,0,0.019859,0.002131,0.054873,0,0,0,0.000124,0,0,0,0,0,0,0,0.002206,0,0,0,0,0,0,0,0
Bivalves,0,0,0,0,0,0,0,0.111808,0.050862,0,0,0.084417,0.203227,0.247102,0.141236,0.08575988,0.012844,0.127069,0.127196,0.505506,0.505506,0.063732,0.132236,0.000843,0.003384073,0,0.000146788,0.013492,0.001076135,0,0.014633,0.002131,0.013384,0,0,0.003476,0,0,0,0,0,0,0,0.003012,0,0,0,0,0.001282,0,0,0,0
