Prey \ predator,Dolphins,Seabirds,Turtles,Manatees,LgOcePisc,LgOcePlank,Coastalsharks,Rays/skates,PelOcePisc,PelCoasPisc,MackerelAdul,MackerelJuv,Sardine/Herring,PelOceJelly/eaters,PelOcePlanktivores,DemOceInvert/eaters,DemCoasPisc,DemCoasInvert/eaters,DemCoasOmniv,BentOcePisc,BentOceInvert/eaters,BentCoasPisc,BentCoasInvert/eaters,SurfacePelagics,StrucAssCoasPisc,LgGroupers,StrucAssCoasInvert/eaters,StrucAssCoasOmniv,StrucAssCoasPlank,NearshAssPisc,Mullets,NearshPlanktivores,Other fishes,Squid,Adult Shrimps,Lobsters,Large Crabs,Octopods,Stomatopods,Echinoderms/Large gastropods,Bivalves,Sessile epibenthos,Small infauna,Small mobile epifauna,Meiofauna,Small Copepods,Other Mesozooplankton,CarnivZooplank,Ichthyoplankton,CarnivJellyfish,Microbial Heterotrophs,Macroalgae,Microphytobenthos,Phytoplankton,Sea grasses,Dead carcasses,Sediment Detritus,Watercolumn Detritus,Drift Macrophytes,Import
Dolphins,0.00019996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turtles,0.00019996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000499863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manatees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LgOcePisc,0,0,0,0,0.009998871,0,0,0,0,0.002001361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LgOcePlank,0,0,0,0,0,0,0,0,0,0.001000681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coastalsharks,0,0,0,0,0.009998872,0,0.01997415,0,0,0.007004764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rays/skates,0,0,0,0,0.01199865,0,0.1497292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01649547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PelOcePisc,0,0,0,0,0.0699921,0,0.000399483,0,0.07,0.000200136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00260229,0.004698711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PelCoasPisc,0.01689661,0.002000259,0,0,0.0849904,0,0.02496768,0,0,0.01000681,0.0100002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004604052,0.007198022,0,0,0,0.02501641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MackerelAdul,0,0,0,0,0.05699357,0,0.003495475,0,0.01,0.003000357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MackerelJuv,0.01509697,0.002000259,0,0,0.05699357,0,0.003495475,0,0.02,0.004603131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sardine/Herring,0.05318933,0.2440072,0.007199043,0,0.07299177,0,0.03735166,0,0.1,0.1500178,0.4461535,0.4081633,0,0.001,0.01598951,0,0.01680142,0.006001037,0,0,0,0,0,0,0.05801215,0.05798768,0.009016844,0,0,0.03752462,0,0,0,0.005007492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PelOceJelly/eaters,0,0.002000259,0,0,0.09198961,0,0.02996121,0,0.1,0.07605172,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05007492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PelOcePlanktivores,0.01629673,0.05000147,0,0,0.09598916,0.1168117,0.02986134,0,0.11,0.06224232,0.1120022,0.2220888,0,0.001,0.009993445,0,0,0,0,0,0,0,0,0,0.03800797,0.01499681,0,0,0,0,0,0,0,0.005007492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemOceInvert/eaters,0,0,0,0,0,0,0,0,0,0.005904016,0,0,0,0,0,0,0,0,0,0.09983152,0,0,0,0,0,0,0,0,0,0.02501641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemCoasPisc,0,0.09871277,0,0,0,0,0,0,0,0.000200136,0.01160139,0,0,0,0,0,0.009999849,0,0,0.09983152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemCoasInvert/eaters,0,0.1424184,0,0,0.01499831,0,0.03016096,0,0,0.08065487,0.02910349,0.1456583,0,0,0,0,0.0399994,0.004300744,0,0,0,0.08845844,0.00019985,0,0.02041797,0.04200714,0,0,0,0.09506233,0,0,0,0,0,0,0,0.081,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemCoasOmniv,0.2080583,0.09871277,0,0,0.05199413,0,0,0,0,0.05613817,0,0,0,0,0,0,0.0199997,0.001000173,0,0,0,0.05419705,0,0,0.004203699,0.06568197,0.007013093,0,0,0.01751149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BentOcePisc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000998315,0,0.001001494,0,0,0.001000054,0.02339358,0.000500936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BentOceInvert/eaters,0,0,0,0,0.000999887,0,0.003395604,0,0,0.00210143,0,0,0,0,0,0,0,0,0,0.199663,0,0.04748503,0,0,0.009108015,0.03100527,0.002404491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BentCoasPisc,0,0,0,0,0.01499831,0,0.04034778,0,0,0.000200136,0,0.02130852,0,0,0,0,0,0.001000173,0,0.04996569,0,0.01001794,0.00019985,0,0.007506606,0.02269377,0.001001872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BentCoasInvert/eaters,0.00089982,0.1343174,0,0,0.0159982,0,0.02207143,0.04504091,0,0.003002042,0,0,0,0,0,0,0.02499962,0.006001037,0,0.1498971,0,0.02053679,0.00019985,0,0.03843383,0.02199274,0.004508422,0,0,0.01500984,0,0,0,0,0,0,0,0.2,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SurfacePelagics,0.01509697,0.002000259,0,0,0.09798894,0,0,0,0,0.009106193,0.09421128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StrucAssCoasPisc,0,0,0,0,0.01399842,0,0.03105979,0,0,0.000300204,0.02280274,0,0,0,0,0,0,0.001300225,0,0,0,0,0,0,0.01000481,0.02409339,0,0,0,0,0,0,0,0,0,0.00998004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LgGroupers,0,0,0,0,0.004999436,0,0.02406884,0,0,0.000100068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StrucAssCoasInvert/eaters,0,0.01120145,0,0,0.01099876,0,0.03655269,0,0,0.06214226,0.0342041,0.04461785,0,0,0,0.02271201,0,0.001200207,0,0,0.05763556,0.1001279,0,0,0.1342181,0.0856765,0.000500936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StrucAssCoasOmniv,0.01079784,0,0,0,0.01299853,0,0.007390433,0.02302091,0,0.05403674,0,0,0,0,0,0.01971043,0.01950166,0.000400069,0,0,0,0,0,0,0.07346466,0.04718705,0.007413843,0,0,0,0,0,0,0,0,0.00998004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StrucAssCoasPlank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04400238,0.06238287,0,0,0,0,0,0,0,0,0,0.00998004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
