Group,Import
Transient Killers,0
Sperm and Beaked Whales,0
Resident Killers,0
Porpoises,0
Belugas,0
Gray Whales,0
Humpbacks,0
Fin Whales,0
Sei Whales,0
Right Whales,0
Minke Whales,0
Bowhead Whales,0
Sea Otters,0
Walrus Bd Seals,0
N Fur Seal Juv,0
N Fur Seal Ad,0
Steller Sea Lions Juv,0
Steller Sea Lions Ad,0
Resident Seals,0
Wintering Seals,0
Shearwater,0
Murres,0
Kittiwakes,0
Auklets,0
Puffins,0
Fulmars,0
Storm Petrels,0
Cormorants,0
Gulls,0
Albatross Jaeger,0
Sleeper shark,0
W Pollock Juv,0
W Pollock Ad,0
P Cod Juv,0
P Cod Ad,0
Herring Juv,0
Herring Ad,0
Arrowtooth Juv,0
Arrowtooth Ad,0
Kamchatka fl Juv,0
Kamchatka fl Ad,0
Gr Turbot Juv,0
Gr Turbot Ad,0
P Halibut Juv,0
P Halibut Ad,0
YF Sole Juv,0
YF Sole Ad,0
FH Sole Juv,0
FH Sole Ad,0
N Rock sole Juv,0
N Rock sole Ad,0
AK Plaice,0
Dover Sole,0
Rex Sole,0
Misc Flatfish,0
Alaska skate,0
Other skates,0
Sablefish Juv,0
Sablefish Ad,0
Eelpouts,0
Grenadiers,0
Misc fish deep,0
POP,0
Sharpchin Rock,0
Northern Rock,0
Dusky Rock,0
Shortraker Rock,0
Rougheye Rock,0
Shortspine Thorns,0
Other Sebastes,0
Atka mackerel Juv,0
Atka mackerel Ad,0
Greenlings,0
Lg Sculpins,0
Other sculpins,0
Misc fish shallow,0
Octopi,0
Squids,0
Salmon returning,0
Salmon outgoing,0
Bathylagidae,0
Myctophidae,0
Capelin,0
Sandlance,0
Eulachon,0
Oth managed forage,0
Oth pelagic smelt,0
Bairdi,0
King Crab,0
Opilio,0
Pandalidae,0
NP shrimp,0
Sea stars,0
Brittle stars,0
Urchins dollars cucumbers,0
Snails,0
Hermit crabs,0
Misc crabs,0
Misc Crustacean,0
Benthic Amphipods,0
Anemones,0
Corals,0
Hydroids,0
Urochordata,0
Sea Pens,0
Sponges,0
Bivalves,0
Polychaetes,0
Misc worms,0
Scyphozoid Jellies,0
Fish Larvae,0
Chaetognaths,0
Euphausiids,0
Mysids,0
Pelagic Amphipods,0
Gelatinous filter feeders,0
Pteropods,0
Copepods,0
Pelagic microbes,0
Benthic microbes,5.2001235
Macroalgae,205.63112
Lg Phytoplankton,1003.90651
Sm Phytoplankton,5.15
Outside Production,1
Discards,0
Offal,0
Pelagic Detritus,0
Benthic Detritus,0
Outside Detritus,0
