Group,Biomass
Killer whales,0.001485239
Toothed Wales,0.01767473
Porpoises,0.003618792
Gray Whales,0.0326672
Baleen whales,0.5079377
Sea Otters,0.000750327
Walrus Bd Seals,0.1142484
N. Fur Seal,0.03767791
Steller Sea Lion,0.0016
Resident seals,0.01344924
Wintering seals,0.03029022
Mobile Seabirds,0.0110602
Inshore Seabirds,0.001251606
Sleeper shark,0.0532473
W. Pollock,22.14645
P. cod,2.655939
Herring,0.7886576
Arrowtooth,0.8521554
Kamchatka fl.,0.05059652
Gr. Turbot,0.3582529
P. Halibut,0.2396477
YF. Sole,5.153366
FH. Sole,1.269055
N. Rock sole,3.865199
Flatfish,1.33095
Skates,0.7733867
Sablefish,0.03587793
Eelpouts,2.371533
Deepwater Fish,0.9761934
POP,0.1666428
Rockfish,0.04324389
Shortspine Thorns,0.00461327
Other Sebastes,0.01113565
Atka mackerel,0.1476698
Greenlings,0.001190084
Sculpins,1.677015
Misc.fish shallow,1.167694
Octopi,0.192476
Squids,0.9269976
Salmon,0.1779669
Bathylagidae,0.1616437
Myctophid,0.8262178
Forage fish,5.874075
Bairdi,0.5218537
King Crab,0.2383894
Opilio,2.178832
Pandalidae,6.742452
NP shrimp,12.70244
Sea stars,2.471359
Brittle stars,2.950093
Urchins dollars cucumbers,1.167418
Snails,0.8071689
Hermit crabs,1.773873
Misc. crabs,0.7101216
Misc. Crustacean,8.88581
Benthic Amphipods,12.79612
Coral-like,0.3588877
Urochordata,0.3544967
Sea Pens & Sponges,0.06790503
Bivalves,51.87307
Polychaetes,19.68738
Misc.worms,3.669484
Scyphozoid,0.3379304
Fish Larvae,0.01166913
Chaetognaths,0.7048802
Euphasids,17.83103
Mysids,1.500296
Pelagic Amphipods,1.695004
Gelatinous filter feeders,0.773876
Pteropods,0.2317499
Copepods,25.85738
Pelagic microbes,25
Benthic microbes,18
Macroalgae,0.7501763
Large Phytoplankton,4.350356
Sm Phytoplankton,39.5039
Outside Production,4
Discards,0.05
Offal,0.02
Detritus,1.5
Outside Detritus,0.05
