Group,Living
Killer whales,TRUE
Toothed Wales,TRUE
Porpoises,TRUE
Gray Whales,TRUE
Baleen whales,TRUE
Sea Otters,TRUE
Walrus Bd Seals,TRUE
N. Fur Seal,TRUE
Steller Sea Lion,TRUE
Resident seals,TRUE
Wintering seals,TRUE
Mobile Seabirds,TRUE
Inshore Seabirds,TRUE
Sleeper shark,TRUE
W. Pollock,TRUE
P. cod,TRUE
Herring,TRUE
Arrowtooth,TRUE
Kamchatka fl.,TRUE
Gr. Turbot,TRUE
P. Halibut,TRUE
YF. Sole,TRUE
FH. Sole,TRUE
N. Rock sole,TRUE
Flatfish,TRUE
Skates,TRUE
Sablefish,TRUE
Eelpouts,TRUE
Deepwater Fish,TRUE
POP,TRUE
Rockfish,TRUE
Shortspine Thorns,TRUE
Other Sebastes,TRUE
Atka mackerel,TRUE
Greenlings,TRUE
Sculpins,TRUE
Misc.fish shallow,TRUE
Octopi,TRUE
Squids,TRUE
Salmon,TRUE
Bathylagidae,TRUE
Myctophid,TRUE
Forage fish,TRUE
Bairdi,TRUE
King Crab,TRUE
Opilio,TRUE
Pandalidae,TRUE
NP shrimp,TRUE
Sea stars,TRUE
Brittle stars,TRUE
Urchins dollars cucumbers,TRUE
Snails,TRUE
Hermit crabs,TRUE
Misc. crabs,TRUE
Misc. Crustacean,TRUE
Benthic Amphipods,TRUE
Coral-like,TRUE
Urochordata,TRUE
Sea Pens & Sponges,TRUE
Bivalves,TRUE
Polychaetes,TRUE
Misc.worms,TRUE
Scyphozoid,TRUE
Fish Larvae,TRUE
Chaetognaths,TRUE
Euphasids,TRUE
Mysids,TRUE
Pelagic Amphipods,TRUE
Gelatinous filter feeders,TRUE
Pteropods,TRUE
Copepods,TRUE
Pelagic microbes,TRUE
Benthic microbes,TRUE
Macroalgae,TRUE
Large Phytoplankton,TRUE
Sm Phytoplankton,TRUE
Outside Production,TRUE
Discards,FALSE
Offal,FALSE
Detritus,FALSE
Outside Detritus,FALSE
