Group,Respiration
Killer whales,0.01321881
Toothed Wales,0.09262686
Porpoises,0.03220769
Gray Whales,0.7823795
Baleen whales,3.189577
Sea Otters,0.04373141
Walrus Bd Seals,1.398994
N. Fur Seal,1.724709
Steller Sea Lion,0.0479008
Resident seals,0.1865223
Wintering seals,0.4630832
Mobile Seabirds,0.7773475
Inshore Seabirds,0.08717699
Sleeper shark,0.1224688
W. Pollock,79.06395
P. cod,9.029165
Herring,2.963161
Arrowtooth,2.074507
Kamchatka fl.,0.1231734
Gr. Turbot,0.9980416
P. Halibut,0.7024601
YF. Sole,3.543247
FH. Sole,2.569934
N. Rock sole,5.981575
Flatfish,1.86333
Skates,1.082741
Sablefish,0.01284116
Eelpouts,2.84584
Deepwater Fish,1.391076
POP,0.2499642
Rockfish,0.06486583
Shortspine Thorns,0.001153317
Other Sebastes,0.01670347
Atka mackerel,0.8585712
Greenlings,0.001428101
Sculpins,2.012418
Misc.fish shallow,1.401233
Octopi,0.4080491
Squids,4.946459
Salmon,1.530337
Bathylagidae,0.3426846
Myctophid,1.751582
Forage fish,12.45304
Bairdi,0.4553449
King Crab,0.4546067
Opilio,2.611475
Pandalidae,9.114997
NP shrimp,17.1722
Sea stars,8.971033
Brittle stars,10.70884
Urchins dollars cucumbers,2.136375
Snails,4.382926
Hermit crabs,4.363727
Misc. crabs,1.746899
Misc. Crustacean,197.265
Benthic Amphipods,284.0739
Coral-like,0.4895351
Urochordata,2.538196
Sea Pens & Sponges,0.07415929
Bivalves,134.87
Polychaetes,116.943
Misc.worms,16.3659
Scyphozoid,0.5136542
Fish Larvae,0.08214237
Chaetognaths,4.961855
Euphasids,125.5178
Mysids,10.56102
Pelagic Amphipods,5.448227
Gelatinous filter feeders,5.447536
Pteropods,1.631354
Copepods,418.6827
Pelagic microbes,667.8568
Benthic microbes,480.8569
Macroalgae,0.6
Large Phytoplankton,15.2691
Sm Phytoplankton,16.63791
Outside Production,0.15
Discards,0
Offal,0
Detritus,0
Outside Detritus,0
