Prey \ predator,Killer whales,Toothed Wales,Porpoises,Gray Whales,Baleen whales,Sea Otters,Walrus Bd Seals,N. Fur Seal,Steller Sea Lion,Seals,Seabirds,Sleeper shark,W. Pollock,P. cod,Herring,Arrowtooth,Flatfish,Skates,Sablefish,Eelpouts,Deepwater Fish,POP,Demersal fish,Atka mackerel,Sculpins,Misc.fish shallow,Cephalopods,Salmon,Mesopelagics,Forage fish,Crustaceans,Sea stars,Urchins dollars cucumbers,Snails,Benthic Amphipods,Coral-like,Urochordata,Sea Pens & Sponges,Bivalves,Worms,Scyphozoid,Large Zooplankton,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Microbes,Macroalgae,Phytoplankton,Outside Production,Discards,Detritus,Outside Detritus
Killer whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003346064,0
Toothed Wales,0.000167294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240256,0
Porpoises,4.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008111672,0
Gray Whales,0.000446024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1971897,0
Baleen whales,0.00693517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8114306,0
Sea Otters,1.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01103219,0
Walrus Bd Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3570368,0
N. Fur Seal,0.000471771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4370302,0
Steller Sea Lion,2.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01242541,0
Seals,0.00018363,0,0,0,0,0,0.001787347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1615406,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0.000161546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216876,0
Sleeper shark,0,7.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03648948,0
W. Pollock,0.004152593,0.01328185,0.004599358,0,0.3514994,0.009137532,0,0.6604171,0.01999511,0.2608065,0.1203481,0.03194838,3.780039,2.199181,0,1.37682,0.06422315,0.6613529,0.0163295,0.01876418,0,0,0,0,0.1883232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001013791,0,0,0,0,0,0,0,0,0,0.5887467,28.84859,0
P. cod,0.000513721,0.003955184,0.000200545,0,0,4.28E-05,0,0.01540973,0.00425428,0.02014438,0.0255154,0,0.06265631,0.04308409,0,5.79E-06,0.1342645,0.007933564,0,0,0,0,0,0,0.03456731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09154508,4.485709,0
Herring,0.000125032,7.15E-05,2.48E-05,0,0.001892319,0.000275127,0,0.1320834,0.001823262,0.02914213,0.0140766,0,0.05739962,0.01599209,0,0.02095396,0.04562276,0.001479286,1.30E-05,0.003517956,0,0,0,0,0.005628273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001013791,0,0,0,0,0,0,0,0,0,0.01860997,0.9118888,0
Arrowtooth,0.000208302,0,0,0,0,0,0,0,0,0,0,0.01919693,0.05373979,0.005387659,0,0.005341609,0.00249471,0.0203355,6.13E-06,0,0,0,0,0,7.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01652886,0.8099141,0
