Prey \ predator,Import
Killer whales,0
Toothed Wales,0
Porpoises,0
Gray Whales,0
Baleen whales,0
Sea Otters,0
Walrus Bd Seals,0
N. Fur Seal,0
Steller Sea Lion,0
Seals,0
Seabirds,0
Sleeper shark,0
W. Pollock,0
P. cod,0
Herring,0
Arrowtooth,0
Flatfish,0
Skates,0
Sablefish,0
Eelpouts,0
Deepwater Fish,0
POP,0
Demersal fish,0
Atka mackerel,0
Sculpins,0
Misc.fish shallow,0
Cephalopods,0
Salmon,0
Mesopelagics,0
Forage fish,0
Crustaceans,0
Sea stars,0
Urchins dollars cucumbers,0
Snails,0
Benthic Amphipods,0
Coral-like,0
Urochordata,0
Sea Pens & Sponges,0
Bivalves,0
Worms,0
Scyphozoid,0
Large Zooplankton,0
Pelagic Amphipods,0
Gelatinous filter feeders,0
Pteropods,0
Copepods,0
Microbes,0
Macroalgae,6.481932
Phytoplankton,1054.5768
Outside Production,520.15
Discards,0
Detritus,0
Outside Detritus,0
