Prey \ predator,Living
Killer whales,TRUE
Toothed Wales,TRUE
Porpoises,TRUE
Gray Whales,TRUE
Baleen whales,TRUE
Sea Otters,TRUE
Walrus Bd Seals,TRUE
N. Fur Seal,TRUE
Steller Sea Lion,TRUE
Seals,TRUE
Seabirds,TRUE
Sleeper shark,TRUE
W. Pollock,TRUE
P. cod,TRUE
Herring,TRUE
Arrowtooth,TRUE
Flatfish,TRUE
Skates,TRUE
Sablefish,TRUE
Eelpouts,TRUE
Deepwater Fish,TRUE
POP,TRUE
Demersal fish,TRUE
Atka mackerel,TRUE
Sculpins,TRUE
Misc.fish shallow,TRUE
Cephalopods,TRUE
Salmon,TRUE
Mesopelagics,TRUE
Forage fish,TRUE
Crustaceans,TRUE
Sea stars,TRUE
Urchins dollars cucumbers,TRUE
Snails,TRUE
Benthic Amphipods,TRUE
Coral-like,TRUE
Urochordata,TRUE
Sea Pens & Sponges,TRUE
Bivalves,TRUE
Worms,TRUE
Scyphozoid,TRUE
Large Zooplankton,TRUE
Pelagic Amphipods,TRUE
Gelatinous filter feeders,TRUE
Pteropods,TRUE
Copepods,TRUE
Microbes,TRUE
Macroalgae,TRUE
Phytoplankton,TRUE
Outside Production,TRUE
Discards,FALSE
Detritus,FALSE
Outside Detritus,FALSE
