Prey \ predator,Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray others,Thornback Spotted ray,Skate cuckoo ray,Juvenile Cod,Cod adult,Juvenile Whiting,Whiting adult,Juvenile Haddock,Haddock adult,Juvenile Saithe,Saithe adult,Hake,Blue whiting,Norway pout,Other gadoids large,Other gadoids small,Monkfish,Gurnards,Herring juvenile,Herring adult,Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish Wolffish,Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid cuttlefish,Fish larvae,Carnivorous zooplankton,Copepods,Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos,Infaunal macrobenthos,Shrimp,Swarming crustaceans,Polychaetes,Sessile epifauna,Meiofauna,Benthic microflora,Planktonic microflora,Phytoplankton,Detritus water column,Detritus sediment,Discards
Baleen whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402,0.0938,0
Toothed whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180846,0.0421974,0
Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01310016,0.03056704,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039132,0.091308,0
Juvenile sharks,0,0,0,0,0,0,0.000194279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000241716,0.000564005,0
Spurdog,0,0,0,0,0,0.000706685,3.23E-05,0,0,0,0,0,0,5.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002165498,0.00505283,0
Large piscivorous sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000398283,0.000929327,0
Small sharks,0,0,0,0,0,0,0.000161952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053378,0.001245487,0
Juvenile rays,0,0,0,0,0,0,0.000194279,0,0,3.71E-05,0,0,0,5.64E-05,0,0,0,0,0,0,0,0,0,0,0,0.000606419,7.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801096,0.1869224,0
Starry ray others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030663,0.071547,0
