Group,Import
Baleen whales,0
Toothed whales,0
Seals,0
Seabirds,0.2181598
Juvenile sharks,0
Spurdog,0
Large piscivorous sharks,0
Small sharks,0
Juvenile rays,0
Starry ray others,0
Thornback Spotted ray,0
Skate cuckoo ray,0
Juvenile Cod,0
Cod adult,0
Juvenile Whiting,0
Whiting adult,0
Juvenile Haddock,0
Haddock adult,0
Juvenile Saithe,0
Saithe adult,0
Hake,0
Blue whiting,0
Norway pout,0
Other gadoids large,0
Other gadoids small,0
Monkfish,0
Gurnards,0
Herring juvenile,0
Herring adult,0
Sprat,0
Mackerel,0
Horse mackerel,0
Sandeels,0
Plaice,0
Dab,0
Long-rough dab,0
Flounder,0
Sole,0
Lemon sole,0
Witch,0
Turbot and brill,0
Megrim,0
Halibut,0
Dragonets,0
Catfish Wolffish,0
Large demersal fish,0
Small demersal fish,0
Miscellaneous filterfeeding pelagic fish,0
Squid cuttlefish,0
Fish larvae,0
Carnivorous zooplankton,0
Copepods,0
Gelatinous zooplankton,0
Large crabs,0
Nephrops,0
Epifaunal macrobenthos,0
Infaunal macrobenthos,0
Shrimp,0
Swarming crustaceans,0
Polychaetes,0
Sessile epifauna,0
Meiofauna,0
Benthic microflora,0
Planktonic microflora,0
Phytoplankton,6280.7532
Detritus water column,0
Detritus sediment,0
Discards,0
