Group,Import
Transient Orca,0
Resident Orca,0
Sharks,0.2084755
Halibut,0.06090293
Porpoise,0
Pinnipeds,0
Lingcod,0
Sablefish,0.376212
Adult Atooth,0
Adult Salmon,44.10835
Pac. Cod,0.1199805
Juv Atooth,0
Avian Predators,0
Seabirds,0
Deep demersals,0
Pollock adult,0
Rockfish,0
Baleen Whales,0
Salmon Fry,0
Nshore Demersal,0
Squid,0
Eulachon,9.000002
Sea otters,0
Deep  Epibent,0
Capelin,0
Adult Herring,0
Pollock yoy,0
Shal Lg Epibent,0
Invertiv Bird,0
Sandlance,0
Juv Herring,0
Jellies,0
Deep sm infauna,0
Near OmniZoo,0
OmniZooplankton,0
Shal sm Infauna,0
Meiofauna,0
Deep Lg Infauna,0
Shal Sm Epibent,0
Shal lg infauna,0
Near HerbiZoo,0
HerbiZooplankton,0
Near Phytoplktn,269.10467
Offshore Phyto,319.8872
Macroalgae,438.09
Nekton falls,0
InshoreDetritus,0
Offshr Detritus,0
