Prey \ predator,Primary produce,Microzooplankton,Mesozooplankton,Marozooplankton,deposit feeders,suspension feed,Shrimp and Praw,Whelk,Echinoderms,Bivalves,Scallops,Crab,Commercial crab,Lobster,Small demersals,Small gadoids,Mullet,Sole Juv,Sole Ad,Plaice Juv,Plaice Ad,Dab,Lemon Sole,Large Flatfish,Gurnards,Whiting Juv,Whiting Ad,Cod Juv,Cod Ad,Hake,Dogfish,Rays,Pollack,Monkfishes,Large bottom,Seabreams,John Dory,Sandeels,Herring,Sprat,Pilchard,Mackerel,Scad,Bass,Sharks,Basking shark,Cephalopods,Seabirds,Toothed cetaceans,Seals,Discarded catch,Detritus
Primary produce,0,298.9041,367.856,0,0,1.014,6.229697,0,3.113097,85.95743,2.31976,0,0,0.00512291,0.0003349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001224183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3704533,0,0,0,0,2181.917
Microzooplankton,0,16.60592,45.98206,0,0,1.521,9.177297,0,0,0,0,0,0,0,0.001745004,0.2376067,0,0,0,0,0,0,0.002861119,4.84E-05,0,0,0.0326044,1.04E-05,0,0,0,0,0,0,0,0,0,0,0.2603792,2.006356,2.180058,0.3081931,0.07168852,0,0,0,0,0,0,0,0,0
Mesozooplankton,0,0,22.99127,41.8,0,3.042,17.2073,0,0,0,0,0,0,0,0.001745004,0.2572515,0,0,0,0,0,0,0.004946813,4.84E-05,0,0,0.03772203,2.29E-05,0.001586683,0,0,0.01379105,0.1892557,0,0,0,0,23.9749,0.1735861,3.009532,3.270088,5.331505,0.6817111,0,0,0.03774001,0,0.002040691,0,0,0,295.2649
Marozooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005182134,0,0,0,0,0,0,0,0,0,0,0,0.001213452,0,0,0,0,0,0,0,0,0,0,0,0,0.06520568,0,0.4057222,0.1872292,0,0,0,0,0,0,0,0,35.85545
deposit feeders,0,0,0,0,0,1.014,2.198716,2.154215,6.848851,0,0,0,0,0.007133146,10.41618,0.5729662,0.4670788,0.1272096,0.1936444,0.14544,0.0687536,0.1316866,0.2173888,0.0171245,0.4006933,0.1586841,0.02197917,0.008996409,0.003020389,9.10E-06,0.4659199,0.05174283,0.09464858,0,0,0.5355835,0,5.803205,0,0,0,0.07339218,0.3831972,0.05230023,5.01E-05,0,0.02315509,0.002936,0,0,0,62.83411
suspension feed,0,0,0,0,0,0,0,0,0.3112975,0,0,0,0,0.001945376,0.007367795,0,0,0.00147062,0.002241119,0,0,0.03951131,0.01202469,5.83E-05,0,0,0.001831384,8.22E-05,2.86E-05,0,0.02599636,0,0.000979102,0,0,0,2.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.144143
Shrimp and Praw,0,0,0,0,0,0,0,0.1637549,0,0,0,9.79033,0.3114355,0.00019452,2.028453,4.106252,0.1515592,0,0,0.001502476,0.000710263,0.006791019,0,0.05428127,0.7253284,0.3309325,0.01373666,0.05020216,0.000238457,0.000261796,0.1119806,0.1065036,0.03916531,0,0.02521484,0.005045172,0.000731394,0,0,0,0,0.09173817,1.521839,0.1488348,0,0,0,0,0,0,0,16.85683
Whelk,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000239575,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36E-05,0,0,0.02606332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6093091
Echinoderms,0,0,0,0,0,0,0,0.1637549,2.95145,0,0,0,0,0.002010236,2.010016,0.002600795,0.01653332,0,0,0.001502476,0.000710263,3.28E-05,0.008124875,0,0,0,0.000466811,3.11E-05,0.000158954,0,0.03799394,0.00086232,0.06690694,0,0,0,9.29E-06,0,0,0,0,0,0,0,1.11E-05,0,0,0,0,0,0,12.82084
Bivalves,0,0,0,0,0,0,0,0.3275097,3.113097,0,0,5.650925,0.415248,0.01478505,2.489469,0.7205466,0.01240024,0.01911716,0.02913546,0.1517504,0.0717367,0.01275884,0.04224935,0.000251954,0.005565867,0,0.000100534,0.001443826,6.12E-05,0,0.02799564,0.00086232,0.01631918,0,0,0.001892008,0,0,0,0,0,0,0,0.000761554,0,0,0,0,6.76E-05,0,0,36.62428
Scallops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12E-05,0,0,0,0,0,0,0,1.032213
Crab,0,0,0,0,0,0,0,0.1199807,0,0,0,0.4915448,0.02490749,0.02723569,0.4261159,1.805709,0.1663171,0.002649824,0.00403832,0,0,0.002623557,0,0.02487888,0.3528377,0.0239653,0.02014779,0.02243548,0.01303533,0,0.8818501,0.1487605,0.03590123,0.06853575,0.05042968,0.001785324,0,0,0,0,0,0.1192613,0,0.003639633,0,0,4.226042,0.002936,0,0,0,14.34244
Commercial crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001999278,0.01379792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495104
Lobster,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000648479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124947
Small demersals,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000518759,0.2397178,0.4663841,0.1515592,0,0,0,0,0,0,0.1778768,0.03710195,0,0,0.01921459,0.01160464,0.000261796,0.07598788,0.0444125,0,0.042835,0.04034374,0,0.02706294,0,0,0,0,0,0.02189571,0.04722244,0.000245167,0,1.149954,0,0,0.000970301,0,3.797918
Small gadoids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02651296,0,0,0,0,0,0,0,0,0,0,0.1868223,0.00044218,0.005007498,0.02774647,0.07798716,0.000809715,0.1662157,0.2820975,0.01765021,0,0,0,0,0,0,0.1956634,0.2105746,0,0.000171177,0,0.3045126,4.58E-05,0,0.000271699,0,1.898941
Mullet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07348125,0,0,0,0,0.2018967
Sole Juv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40E-05,0,0.000158954,0,0.002733941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044232,0,0,0,0,0.03570205
Sole Ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76E-05,0,0.05358536
Plaice Juv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002463971,0,0.003998557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000105869,0,0.00140419,0,0,0,0,0.08117917
Plaice Ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001436071,0,0.03673245
Dab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103095,0.000442287,0.001969124,0,0.007803882,0.000377138,0.000551126,0.002807749,0,0,0,0,0,0,0,0.000147226,0,0,3.49E-05,0,0,0,0,1.59E-05,0,0.04520628
Lemon Sole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58E-05,0,0,0,0,0.006054222,0.00222389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000762697,0,0.06751601
Large Flatfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000523452,0,0,0,0,0,0,0.000365697,0,0,0,0,0,0,0,0,0,0,0,0,0.002018257,0,0.06911776
Gurnards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000785248,0,0,0,0,0,0,0,0,0,0,0,0,0.02189571,0,0.000178304,0,0,0,0,0,0,0.3568284
Whiting Juv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008416815,0,0,0,0,0,0,0,0,0.004909615,0,0.009605161,0.000118464,0.004231719,0.00042302,0.008199911,1.34E-05,1.59E-05,0.006854047,0.000827423,0,0,0,0,0,0,6.54E-05,0.002024756,0,0,0,0,0,0.000303725,0.00035074,0,0.1100953
Whiting Ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000953829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1951543
Cod Juv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003273077,0,0.000512275,8.13E-06,0.002486135,0,0,0,6.22E-05,0.000775808,0.000431537,0,0,0,0,0,0,0.000253556,0.000809902,0,0,0,0,0.000857001,0.000303725,0.000208776,0,0.02928367
Cod Ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183719
Hake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119902,0,0,0,0,0,0,0,0,0,0,0,0,0.004106206,0,0,0,0,0,0,0,0,0.02115818
Dogfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57E-05,0,0,0,0,0,0,0.4957802
Rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09241715
Pollack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04482408,0,0.003702754,0.004539761,0.007350456,0.000425292,0.00347624,0,0.01563921,0,0.001488033,0,0,0,0,1.64E-05,0.02024756,0,0,0,0,0,0.000476988,0.001109627,0,0.3290495
Monkfishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005511372,0,0.1053559
Large bottom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002316207,0,0,0,0,0,0,0,0,0,0,0,0,0.005511372,0,0.07301466
Seabreams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02070478,0,0.003853171,0,0,0.1161432
John Dory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01851534
Sandeels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004427244,0,0,0,0,0,0,0.02697471,0,0,0,0.1611804,0.002998839,0.002622978,0,0.01999661,0.006036643,0.5597331,0,0.01159886,0,0.000365697,0,0,0,0,1.4489,0.5628822,0,0,0,0.563403,0.03303036,0,0.005084417,0,6.3353
Herring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143775,0.001045773,0,0,0.004059781,0,0.000106005,0.000175231,0.007350456,7.28E-06,0.004024927,0.002377602,0.002696509,0,0,0,0,0,0,0.01023221,0.01074336,0,1.55E-05,0,0.007020949,7.21E-05,0.000184122,1.20E-05,0,0.09445214
Sprat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03696664,0,0,0,0,0,0,0.001868753,0.02261727,0,0,0.1346215,6.67E-05,0.000794823,0.006020471,0.02199589,0.000100759,0.03100572,0,0.08018295,0,0,0,0,0,0,0.08165319,0.09853679,0,0.000150441,0,0,0.007848674,0.004731981,0,0,1.079727
